variant,mean_shift_acc,mean_baseline_acc,mean_delta,retention_vs_caa
caa,0.14583333333333334,0.0625,0.08333333333333333,1.0
lasso,0.06770833333333333,0.0625,0.005208333333333333,0.46428571428571425
nnls,0.0625,0.0625,0.0,0.42857142857142855
ols,0.13541666666666666,0.0625,0.07291666666666667,0.9285714285714285
random,0.041666666666666664,0.0625,-0.020833333333333332,0.2857142857142857
vad,0.0625,0.0625,0.0,0.42857142857142855
