cat_a,cat_b,alpha,beta,mean_resid_norm,mean_marg_norm,mean_resid_ratio,median_resid_ratio
joy,sadness,-2.0,-2.0,0.27692192792892456,0.4247613549232483,0.6426773071289062,0.652787446975708
joy,sadness,-2.0,0.0,2.4727100367272214e-08,0.21454733610153198,1.2282572470212472e-07,1.2926346926178667e-07
joy,sadness,-2.0,2.0,0.35186970233917236,0.46674156188964844,0.7357022762298584,0.8156880140304565
joy,sadness,0.0,-2.0,1.3713357560618533e-08,0.252402663230896,5.79318175653043e-08,5.4795101789295586e-08
joy,sadness,0.0,2.0,1.9178823862375793e-08,0.3177768290042877,6.89763766104079e-08,5.4467975019178994e-08
joy,sadness,2.0,-2.0,0.2559279799461365,0.40012282133102417,0.582322359085083,0.6691395044326782
joy,sadness,2.0,0.0,1.4949023352528457e-08,0.21111446619033813,6.451681997532432e-07,6.289752718657837e-08
joy,sadness,2.0,2.0,0.34679535031318665,0.46974116563796997,0.750481367111206,0.7154830098152161
joy,anger,-2.0,-2.0,0.29763129353523254,0.38698506355285645,0.7677710652351379,0.8235244154930115
joy,anger,-2.0,0.0,2.4727100367272214e-08,0.21454733610153198,1.2282572470212472e-07,1.2926346926178667e-07
joy,anger,-2.0,2.0,0.32829418778419495,0.4332684874534607,0.7882875800132751,0.7229719161987305
joy,anger,0.0,-2.0,2.179193714368921e-08,0.22079536318778992,9.441123438591603e-08,1.0549567974749152e-07
joy,anger,0.0,2.0,2.067592319576761e-08,0.2736509442329407,7.999407358738608e-08,7.6885456223863e-08
joy,anger,2.0,-2.0,0.31755977869033813,0.39348363876342773,0.8309444785118103,0.737421989440918
joy,anger,2.0,0.0,1.4949023352528457e-08,0.21111446619033813,6.451681997532432e-07,6.289752718657837e-08
joy,anger,2.0,2.0,0.35460543632507324,0.43042445182800293,0.8154516220092773,0.8468118906021118
anger,fear,-2.0,-2.0,0.3163135051727295,0.3463670611381531,0.9388240575790405,0.9209223389625549
anger,fear,-2.0,0.0,2.179193714368921e-08,0.22079536318778992,9.441123438591603e-08,1.0549567974749152e-07
anger,fear,-2.0,2.0,0.2900601625442505,0.3678632378578186,0.7868043780326843,0.8505558371543884
anger,fear,0.0,-2.0,1.7812400443517618e-08,0.22376301884651184,8.650841465396297e-08,8.123834760453974e-08
anger,fear,0.0,2.0,1.8788917088841117e-08,0.20551428198814392,1.998421339521883e-07,7.345822439219774e-08
anger,fear,2.0,-2.0,0.2834895849227905,0.4292053282260895,0.658515453338623,0.5984010696411133
anger,fear,2.0,0.0,2.067592319576761e-08,0.2736509442329407,7.999407358738608e-08,7.6885456223863e-08
anger,fear,2.0,2.0,0.3554368019104004,0.4208843410015106,0.9705014228820801,0.7577171325683594
disgust,joy,-2.0,-2.0,0.3024599850177765,0.40541136264801025,0.7590162754058838,0.7538291811943054
disgust,joy,-2.0,0.0,1.9076514590210536e-08,0.2269519418478012,9.10813966470414e-08,8.235174675519374e-08
disgust,joy,-2.0,2.0,0.3842136859893799,0.37918418645858765,1.086111068725586,0.9386749267578125
disgust,joy,0.0,-2.0,2.4727100367272214e-08,0.21454733610153198,1.2282572470212472e-07,1.2926346926178667e-07
disgust,joy,0.0,2.0,1.4949023352528457e-08,0.21111446619033813,6.451681997532432e-07,6.289752718657837e-08
disgust,joy,2.0,-2.0,0.3337889015674591,0.39471137523651123,0.8832211494445801,0.921437680721283
disgust,joy,2.0,0.0,1.984470898719337e-08,0.2203754484653473,5.01997533319809e-07,1.367672552987642e-07
disgust,joy,2.0,2.0,0.3591451644897461,0.38378241658210754,3.840890645980835,0.9335366487503052
