decomposer,k,n_seeds,mean_pairwise_stability,min_pairwise_stability
ica,8,2,0.9998015761375427,0.9998015761375427
ica,16,2,0.9542661309242249,0.9542661309242249
nmf,8,2,1.0000001192092896,1.0000001192092896
nmf,16,2,0.9999999403953552,0.9999999403953552
pca,8,2,0.9999948740005493,0.9999948740005493
pca,16,2,0.9999538660049438,0.9999538660049438
