decomposer,k,seed,layer_a,layer_b,mean_cosine,min_cosine,median_cosine
ica,16,0,13,16,0.5134196281433105,0.17005020380020142,0.5731185674667358
ica,16,0,13,19,0.445725679397583,0.1915573924779892,0.4443932771682739
ica,16,0,13,22,0.34684932231903076,0.2063205987215042,0.3551284372806549
ica,16,0,16,19,0.6344297528266907,0.33780500292778015,0.7074146270751953
ica,16,0,16,22,0.5215188264846802,0.3058936595916748,0.5764014720916748
ica,16,0,19,22,0.7291789054870605,0.4174603521823883,0.7643027305603027
