cat_a,cat_b,alpha,beta,cluster_id,cluster_name,cos_resid,cos_marg,cos_full,null_p95,norm_resid,norm_marg,norm_full
anger,fear,-2.0,-2.0,0,self-doubt / encouragement,0.08839781582355499,0.2004639059305191,0.03898899257183075,0.04447821527719498,0.5398396253585815,0.5835064053535461,0.49427998065948486
anger,fear,-2.0,-2.0,1,frustration / despair,0.003116005100309849,0.24769732356071472,0.05864488333463669,0.04994594305753708,0.5398396253585815,0.5835064053535461,0.49427998065948486
anger,fear,-2.0,-2.0,2,uncertainty / indecision,0.006413267459720373,0.32611793279647827,0.00441672932356596,0.04097439721226692,0.5398396253585815,0.5835064053535461,0.49427998065948486
anger,fear,-2.0,-2.0,3,romantic idealism,0.0020485660061240196,0.10634325444698334,0.027448322623968124,0.052968498319387436,0.5398396253585815,0.5835064053535461,0.49427998065948486
anger,fear,-2.0,-2.0,4,academic ambition / competitive determination,0.03880520164966583,0.19131265580654144,0.0013508955016732216,0.048444606363773346,0.5398396253585815,0.5835064053535461,0.49427998065948486
anger,fear,-2.0,-2.0,5,ironic amusement,0.09640306234359741,0.17838436365127563,0.0874781459569931,0.04777481406927109,0.5398396253585815,0.5835064053535461,0.49427998065948486
anger,fear,-2.0,-2.0,6,enthusiasm / curiosity,0.02871396206319332,0.28292781114578247,0.05460299924015999,0.04127923771739006,0.5398396253585815,0.5835064053535461,0.49427998065948486
anger,fear,-2.0,2.0,0,self-doubt / encouragement,0.050989605486392975,0.22059594094753265,0.006476256996393204,0.04447821527719498,0.40554437041282654,0.5776249170303345,0.41367724537849426
anger,fear,-2.0,2.0,1,frustration / despair,-0.06365732848644257,0.25633329153060913,0.012136353179812431,0.04994594305753708,0.40554437041282654,0.5776249170303345,0.41367724537849426
anger,fear,-2.0,2.0,2,uncertainty / indecision,-0.007602247409522533,0.27945372462272644,-0.08033935725688934,0.04097439721226692,0.40554437041282654,0.5776249170303345,0.41367724537849426
anger,fear,-2.0,2.0,3,romantic idealism,-0.045182496309280396,0.12415354698896408,0.009185818955302238,0.052968498319387436,0.40554437041282654,0.5776249170303345,0.41367724537849426
