cat_a,cat_b,median_resid_ratio,mean_resid_ratio,cos_recon,cos_w,cos_caa_raw
anger,fear,0.8653096258640289,0.9273557811975479,0.5480860471725464,0.84937584400177,0.5262276530265808
disgust,joy,0.8250358700752258,0.8820787966251373,-0.08558029681444168,0.12347611039876938,-0.062452804297208786
joy,anger,0.7816933393478394,0.7642886191606522,0.0583980493247509,0.11194894462823868,0.06286892294883728
joy,sadness,0.8029624223709106,0.8043061345815659,0.018178295344114304,0.11592849344015121,0.0171513594686985
