category,rho,p_value,n,note
anger,0.282251225354453,0.04704222047818112,50.0,
anticipation,,,,no classifier label
disgust,0.2851776472941147,0.04470653540337289,50.0,
fear,0.22834908162356787,0.11071552657174369,50.0,
joy,0.31854326429878616,0.024161256325733224,50.0,
sadness,0.24695796260521272,0.08381246622598702,50.0,
surprise,0.15681376728497148,0.2767980380282085,50.0,
trust,,,,no classifier label
