cat_a,cat_b,alpha,beta,mean_resid_norm,mean_marg_norm,mean_resid_ratio,median_resid_ratio
joy,sadness,-2.0,-2.0,0.4167433977127075,0.5111945271492004,0.8427966237068176,0.7951738834381104
joy,sadness,-2.0,0.0,1.4631276634702317e-08,0.29561832547187805,1.1419653844768618e-07,4.557383448400287e-08
joy,sadness,-2.0,2.0,0.419661283493042,0.535520613193512,0.7903105020523071,0.8122284412384033
joy,sadness,0.0,-2.0,1.7677635355539678e-08,0.2961043417453766,7.002424240454275e-08,6.067057967129585e-08
joy,sadness,0.0,2.0,1.994028764329414e-08,0.3199760913848877,6.540311403568921e-08,6.239635297333734e-08
joy,sadness,2.0,-2.0,0.41260266304016113,0.5422082543373108,0.7782560586929321,0.7437995672225952
joy,sadness,2.0,0.0,1.933263860109946e-08,0.3552444875240326,5.749134146526558e-08,4.2689300983056455e-08
joy,sadness,2.0,2.0,0.46864575147628784,0.582428514957428,0.8058613538742065,0.8107509613037109
joy,anger,-2.0,-2.0,0.41736504435539246,0.5902184247970581,0.7317681908607483,0.7465919256210327
joy,anger,-2.0,0.0,1.4631276634702317e-08,0.29561832547187805,1.1419653844768618e-07,4.557383448400287e-08
joy,anger,-2.0,2.0,0.4076705574989319,0.526659369468689,0.7914937734603882,0.8055639266967773
joy,anger,0.0,-2.0,1.6282273307410833e-08,0.3637986481189728,4.8799584817516006e-08,4.921289331605294e-08
joy,anger,0.0,2.0,2.2933264176572266e-08,0.314504474401474,7.483236430516627e-08,7.281722957941383e-08
joy,anger,2.0,-2.0,0.4605295658111572,0.6380566954612732,0.7308225631713867,0.7578227519989014
joy,anger,2.0,0.0,1.933263860109946e-08,0.3552444875240326,5.749134146526558e-08,4.2689300983056455e-08
joy,anger,2.0,2.0,0.4589657187461853,0.5778431296348572,0.8030699491500854,0.8214478492736816
anger,fear,-2.0,-2.0,0.4718663692474365,0.5994009971618652,0.8187048435211182,0.8194133639335632
anger,fear,-2.0,0.0,1.6282273307410833e-08,0.3637986481189728,4.8799584817516006e-08,4.921289331605294e-08
anger,fear,-2.0,2.0,0.505828320980072,0.5779409408569336,0.9719797372817993,0.8199425339698792
anger,fear,0.0,-2.0,1.723782716567257e-08,0.3058139681816101,1.0718053999880794e-06,5.413896175809896e-08
anger,fear,0.0,2.0,1.8889149799861116e-08,0.29535210132598877,1.917495637826505e-07,6.281476316871704e-08
anger,fear,2.0,-2.0,0.47800973057746887,0.5277917981147766,0.9168786406517029,0.920701801776886
anger,fear,2.0,0.0,2.2933264176572266e-08,0.314504474401474,7.483236430516627e-08,7.281722957941383e-08
anger,fear,2.0,2.0,0.5085393786430359,0.5282360911369324,1.0018599033355713,0.9106767177581787
disgust,joy,-2.0,-2.0,0.4679660201072693,0.5660314559936523,1.1282646656036377,0.8789994120597839
disgust,joy,-2.0,0.0,1.9020808039726944e-08,0.3403494358062744,9.39885751449765e-08,4.766829420077556e-08
disgust,joy,-2.0,2.0,0.46663182973861694,0.6074138879776001,0.7776172161102295,0.7560206651687622
disgust,joy,0.0,-2.0,1.4631276634702317e-08,0.29561832547187805,1.1419653844768618e-07,4.557383448400287e-08
disgust,joy,0.0,2.0,1.933263860109946e-08,0.3552444875240326,5.749134146526558e-08,4.2689300983056455e-08
disgust,joy,2.0,-2.0,0.4432927966117859,0.5551323890686035,0.8143086433410645,0.816165566444397
disgust,joy,2.0,0.0,2.0081856177966984e-08,0.329792857170105,6.268141561349694e-08,5.964392357782344e-08
disgust,joy,2.0,2.0,0.4867817163467407,0.5981656908988953,0.8081246614456177,0.8339061737060547
