cat_a,cat_b,alpha,beta,mean_resid_norm,mean_marg_norm,mean_resid_ratio,median_resid_ratio,cos_recon,cos_w,cos_caa_raw,abs_alpha_beta,sign_alpha_beta
joy,sadness,-2.0,-2.0,0.2769219279289245,0.4247613549232483,0.6426773071289062,0.652787446975708,0.041818346828222275,0.05597354471683502,-0.012568086385726929,4.0,1.0
joy,sadness,-2.0,2.0,0.3518697023391723,0.4667415618896484,0.7357022762298584,0.8156880140304565,0.041818346828222275,0.05597354471683502,-0.012568086385726929,4.0,-1.0
joy,sadness,2.0,-2.0,0.2559279799461365,0.4001228213310241,0.582322359085083,0.6691395044326782,0.041818346828222275,0.05597354471683502,-0.012568086385726929,4.0,-1.0
joy,sadness,2.0,2.0,0.3467953503131866,0.4697411656379699,0.750481367111206,0.7154830098152161,0.041818346828222275,0.05597354471683502,-0.012568086385726929,4.0,1.0
joy,anger,-2.0,-2.0,0.2976312935352325,0.3869850635528564,0.7677710652351379,0.8235244154930115,0.05889132246375084,0.0862545445561409,0.07943412661552429,4.0,1.0
joy,anger,-2.0,2.0,0.3282941877841949,0.4332684874534607,0.7882875800132751,0.7229719161987305,0.05889132246375084,0.0862545445561409,0.07943412661552429,4.0,-1.0
joy,anger,2.0,-2.0,0.3175597786903381,0.3934836387634277,0.8309444785118103,0.737421989440918,0.05889132246375084,0.0862545445561409,0.07943412661552429,4.0,-1.0
joy,anger,2.0,2.0,0.3546054363250732,0.4304244518280029,0.8154516220092773,0.8468118906021118,0.05889132246375084,0.0862545445561409,0.07943412661552429,4.0,1.0
anger,fear,-2.0,-2.0,0.3163135051727295,0.3463670611381531,0.9388240575790404,0.9209223389625548,0.6645386219024658,0.8498387336730957,0.5025994181632996,4.0,1.0
anger,fear,-2.0,2.0,0.2900601625442505,0.3678632378578186,0.7868043780326843,0.8505558371543884,0.6645386219024658,0.8498387336730957,0.5025994181632996,4.0,-1.0
anger,fear,2.0,-2.0,0.2834895849227905,0.4292053282260895,0.658515453338623,0.5984010696411133,0.6645386219024658,0.8498387336730957,0.5025994181632996,4.0,-1.0
anger,fear,2.0,2.0,0.3554368019104004,0.4208843410015106,0.97050142288208,0.7577171325683594,0.6645386219024658,0.8498387336730957,0.5025994181632996,4.0,1.0
disgust,joy,-2.0,-2.0,0.3024599850177765,0.4054113626480102,0.7590162754058838,0.7538291811943054,-0.08714678883552551,0.09179728478193283,-0.05329376831650734,4.0,1.0
disgust,joy,-2.0,2.0,0.3842136859893799,0.3791841864585876,1.086111068725586,0.9386749267578124,-0.08714678883552551,0.09179728478193283,-0.05329376831650734,4.0,-1.0
disgust,joy,2.0,-2.0,0.3337889015674591,0.3947113752365112,0.8832211494445801,0.921437680721283,-0.08714678883552551,0.09179728478193283,-0.05329376831650734,4.0,-1.0
disgust,joy,2.0,2.0,0.3591451644897461,0.3837824165821075,3.840890645980835,0.9335366487503052,-0.08714678883552551,0.09179728478193283,-0.05329376831650734,4.0,1.0
