axis,alpha_unit,n,mean_plutchik_max,mean_plutchik_entropy,mean_other_score,frac_other_dominant,top_other_label,top_other_count,top_plutchik,n_unique_other_labels,mean_s_anger,mean_s_anticipation,mean_s_disgust,mean_s_fear,mean_s_joy,mean_s_sadness,mean_s_surprise,mean_s_trust
51,0.0,8,0.4375,0.7107332406119063,0.26249999999999996,0.25,confusion,1,anticipation,4,0.0,0.4375,0.0,0.0875,0.1875,0.0625,0.0,0.25
51,2.0,8,0.5625,1.0463575360478297,0.5625,0.375,uncertainty,2,anticipation,7,0.0,0.375,0.0375,0.19999999999999998,0.3125,0.1,0.0625,0.3625
52,-2.0,8,0.4375,0.8330983077106406,0.32499999999999996,0.25,encouragement,1,anticipation,5,0.0,0.375,0.0,0.025,0.225,0.0625,0.0125,0.375
52,0.0,8,0.475,0.932794029556623,0.375,0.625,confusion,1,anticipation,5,0.0,0.4375,0.0,0.0875,0.175,0.0625,0.0,0.3875
52,2.0,8,0.375,0.6333175468178623,0.35,0.375,confusion,1,anticipation,5,0.0,0.35,0.0,0.0625,0.1875,0.0625,0.0625,0.175
53,-2.0,8,0.4,1.0214635018383207,0.4,0.625,self-doubt,1,anticipation,5,0.0375,0.3125,0.025,0.1625,0.175,0.1875,0.025,0.2875
53,0.0,8,0.4625,0.9308638374174812,0.4125,0.625,indecision,1,anticipation,6,0.0,0.4625,0.0,0.0875,0.1875,0.0625,0.0,0.36250000000000004
53,2.0,8,0.4,0.6842522392339746,0.35,0.375,frustration,1,anger,5,0.1,0.225,0.0375,0.0875,0.1625,0.0625,0.0625,0.1875
54,-2.0,8,0.375,0.5872303459462327,0.2875,0.375,uncertainty,2,anticipation,3,0.0,0.325,0.0,0.0625,0.025,0.0,0.0375,0.2875
54,0.0,8,0.475,0.91063149508184,0.4125,0.5,indecision,1,anticipation,6,0.0,0.4375,0.0,0.0875,0.15,0.075,0.0,0.35
54,2.0,8,0.5,1.002590173599316,0.4125,0.5,frustration,1,anticipation,6,0.1,0.4125,0.0,0.05,0.25,0.0,0.0125,0.38749999999999996
55,-2.0,8,0.4375,0.9698443635124241,0.4375,0.5,self-doubt,1,anticipation,7,0.0,0.3125,0.0,0.075,0.325,0.125,0.0375,0.225
55,0.0,8,0.4625,0.9146892170679767,0.32499999999999996,0.5,confusion,1,anticipation,6,0.0,0.4625,0.0,0.0875,0.1875,0.075,0.0,0.325
55,2.0,8,0.5375000000000001,1.096956393776923,0.3875,0.25,curiosity,2,anticipation,5,0.0,0.4875,0.0,0.125,0.30000000000000004,0.05,0.0,0.4875
56,-2.0,8,0.3125,0.5647867951615041,0.22499999999999998,0.25,confusion,1,anticipation,3,0.0,0.2875,0.0,0.0875,0.0875,0.0625,0.0,0.1875
56,0.0,8,0.475,0.8326080068407429,0.3625,0.5,indecision,1,anticipation,6,0.0,0.4625,0.0,0.0875,0.1875,0.075,0.0,0.2875
56,2.0,8,0.3125,0.6780127711784735,0.2,0.125,determination,1,anticipation,3,0.0,0.2875,0.0,0.0,0.275,0.0,0.0625,0.25
57,-2.0,8,0.4,0.7928838098685387,0.3625,0.5,generosity,1,anticipation,5,0.0,0.3625,0.0375,0.0875,0.1625,0.0,0.0,0.375
57,0.0,8,0.475,0.8239880975153008,0.425,0.625,confusion,1,anticipation,7,0.0,0.4375,0.0,0.0875,0.15,0.075,0.0,0.2875
57,2.0,8,0.3875,0.8045541260836395,0.3,0.5,uncertainty,1,anticipation,4,0.0,0.375,0.0,0.025,0.25,0.025,0.0625,0.3
58,-2.0,8,0.4375,0.9312323294672267,0.39999999999999997,0.5,relaxed acceptance,1,anticipation,6,0.0125,0.4,0.0,0.0625,0.275,0.0125,0.0,0.4125
58,0.0,8,0.4625,0.8280458195014374,0.4,0.5,confusion,1,anticipation,7,0.0,0.4625,0.0,0.0875,0.1875,0.075,0.0125,0.25
58,2.0,8,0.45,0.8648673877413015,0.41250000000000003,0.375,existential uncertainty,1,anticipation,6,0.0,0.375,0.0,0.0875,0.2625,0.0,0.1375,0.375
59,-2.0,8,0.2875,0.559608274671658,0.375,0.5,confusion,1,anger,5,0.0,0.2,0.0,0.0,0.225,0.025,0.0,0.2125
59,0.0,8,0.475,0.9777250994655947,0.35,0.5,confusion,1,anticipation,6,0.0,0.4625,0.0,0.0875,0.1875,0.0625,0.0125,0.3875
59,2.0,8,0.5375000000000001,0.9242340648934573,0.3,0.25,determination,1,anticipation,5,0.0,0.4625,0.0,0.075,0.26249999999999996,0.0625,0.05,0.35
60,-2.0,8,0.35,0.852309641481892,0.25,0.25,disappointment,1,anticipation,5,0.0,0.3,0.0,0.1,0.1,0.1,0.075,0.275
60,0.0,8,0.475,0.7948596990087867,0.35,0.5,confusion,1,anticipation,6,0.0,0.4625,0.0,0.0875,0.1875,0.0625,0.0,0.2875
60,2.0,8,0.475,0.9487753786036812,0.5375000000000001,0.625,confusion,1,anticipation,8,0.0,0.4375,0.0375,0.075,0.25,0.025,0.0125,0.375
61,-2.0,8,0.4875,0.8441212344679627,0.4125,0.375,excitement,1,anticipation,6,0.0,0.4375,0.0,0.075,0.275,0.05,0.0,0.375
61,0.0,8,0.475,0.8824617925736133,0.33749999999999997,0.5,confusion,1,anticipation,6,0.0,0.4375,0.0,0.0875,0.15,0.0625,0.0125,0.325
61,2.0,8,0.3125,0.4652085669168542,0.22499999999999998,0.375,identity crisis,1,anger,3,0.0,0.2375,0.0,0.1,0.0125,0.0625,0.0,0.1875
62,-2.0,8,0.47500000000000003,0.889871637307958,0.4125,0.5,frustration,1,anticipation,6,0.0875,0.3625,0.037500000000000006,0.0125,0.2875,0.0375,0.05,0.25
62,0.0,8,0.475,0.9615504791160902,0.425,0.625,confusion,1,anticipation,7,0.0,0.4625,0.0,0.0875,0.1875,0.075,0.0125,0.35
62,2.0,8,0.4125,0.6655629735027492,0.3375,0.25,self-doubt,1,anticipation,5,0.0,0.275,0.0,0.1125,0.1625,0.075,0.0,0.2125
63,-2.0,8,0.3375,0.7340506091121024,0.21249999999999997,0.25,disappointment,1,anticipation,3,0.0,0.2875,0.0,0.025,0.1625,0.0625,0.0,0.3375
63,0.0,8,0.475,0.8326080068407429,0.3625,0.5,indecision,1,anticipation,6,0.0,0.4625,0.0,0.0875,0.1875,0.075,0.0,0.2875
63,2.0,8,0.4125,0.9065623526056188,0.4125,0.5,confusion,1,anticipation,7,0.0,0.3625,0.0,0.11249999999999999,0.1375,0.0875,0.0375,0.2625
