axis,alpha_unit,n,mean_plutchik_max,mean_plutchik_entropy,mean_other_score,frac_other_dominant,top_other_label,top_other_count,top_plutchik,n_unique_other_labels,mean_s_anger,mean_s_anticipation,mean_s_disgust,mean_s_fear,mean_s_joy,mean_s_sadness,mean_s_surprise,mean_s_trust
12,0.0,8,0.475,0.8326080068407429,0.3625,0.5,indecision,1,anticipation,6,0.0,0.4625,0.0,0.0875,0.1875,0.075,0.0,0.2875
12,2.0,8,0.425,0.8658553392758311,0.3875,0.375,determination,1,anticipation,7,0.0,0.375,0.0,0.0625,0.16249999999999998,0.0625,0.0125,0.3
13,-2.0,8,0.4,0.7071161237170357,0.2,0.125,stress,1,anticipation,3,0.0,0.3625,0.0,0.0375,0.1625,0.0625,0.0,0.3125
13,0.0,8,0.475,0.8326080068407429,0.375,0.625,indecision,1,anticipation,6,0.0,0.4625,0.0,0.0875,0.1875,0.075,0.0,0.2875
13,2.0,8,0.325,0.5196052169849956,0.45,0.625,frustration,2,anger,5,0.0,0.2125,0.0,0.0,0.1625,0.125,0.0375,0.175
14,-2.0,8,0.4375,0.7049943630674967,0.33749999999999997,0.375,frustration,1,anticipation,5,0.0125,0.3125,0.0,0.025,0.1,0.1125,0.0625,0.3125
14,0.0,8,0.475,0.8326080068407429,0.375,0.625,indecision,1,anticipation,6,0.0,0.4625,0.0,0.0875,0.1875,0.075,0.0,0.2875
14,2.0,8,0.5125,0.9340522773346945,0.4125,0.375,determination,1,anticipation,6,0.0,0.4375,0.0625,0.025,0.2625,0.0,0.05,0.375
15,-2.0,8,0.475,0.8849398923780833,0.38749999999999996,0.25,determination,1,anticipation,6,0.0,0.275,0.025,0.025,0.3125,0.05,0.025,0.3375
15,0.0,8,0.475,0.9354260247567867,0.43749999999999994,0.625,indecision,1,anticipation,7,0.0,0.4625,0.0,0.0875,0.1875,0.0625,0.0,0.3875
15,2.0,8,0.4,0.945680621934764,0.4,0.375,indecision,1,anticipation,6,0.05,0.3625,0.0,0.125,0.125,0.1,0.0375,0.1875
16,-2.0,8,0.4,0.7265946143541677,0.275,0.125,skepticism,1,anticipation,4,0.025,0.3125,0.0375,0.1375,0.025,0.05,0.075,0.23750000000000002
16,0.0,8,0.4625,0.8280458195014374,0.35,0.625,indecision,1,anticipation,6,0.0,0.4625,0.0,0.0875,0.1875,0.075,0.0,0.2625
