cat_a,cat_b,i,j,alpha,beta,mean_err_i,mean_err_j,mean_resid_norm,mean_marg_norm,mean_resid_ratio,median_resid_ratio
b1,b11,1,11,-2.0,-2.0,0.06697074323892593,0.07630082964897156,0.41012877225875854,0.46699315309524536,0.8972827792167664,0.9178543090820312
b1,b11,1,11,-2.0,0.0,1.0477378964424133e-09,8.149072527885437e-10,1.6352382559148282e-08,0.27186083793640137,7.319425776586286e-08,4.697395183939079e-08
b1,b11,1,11,-2.0,2.0,0.06092580407857895,0.08712555468082428,0.4376520812511444,0.4935280680656433,0.8958938717842102,0.9380197525024414
b1,b11,1,11,0.0,-2.0,1.7462298274040222e-09,3.4924596548080444e-09,1.950878214529439e-08,0.24317039549350739,8.976880394584441e-08,9.701223291358474e-08
b1,b11,1,11,0.0,2.0,1.0331859812140465e-09,1.862645149230957e-09,2.3659918468865726e-08,0.28424277901649475,8.962286557334664e-08,8.77742110105828e-08
b1,b11,1,11,2.0,-2.0,0.09547445178031921,0.07841725647449493,0.39388662576675415,0.44263920187950134,0.9518375396728516,0.9078414440155029
b1,b11,1,11,2.0,0.0,1.0477378964424133e-09,2.3283064365386963e-09,2.4243846041827055e-08,0.2614480257034302,1.4030112538421236e-07,8.780395432950172e-08
b1,b11,1,11,2.0,2.0,0.04164721444249153,0.04336613416671753,0.3471508026123047,0.4611583650112152,0.7876864671707153,0.6812100410461426
b11,b13,11,13,-2.0,-2.0,0.054045140743255615,0.05658229440450668,0.30224746465682983,0.41903090476989746,0.7419403791427612,0.7534347772598267
b11,b13,11,13,-2.0,0.0,3.4924596548080444e-09,6.984919309616089e-10,1.950878214529439e-08,0.24317039549350739,8.976880394584441e-08,9.701223291358474e-08
b11,b13,11,13,-2.0,2.0,0.05809832364320755,0.07297790050506592,0.3523980379104614,0.4465406537055969,0.8035203218460083,0.7704275846481323
b11,b13,11,13,0.0,-2.0,1.862645149230957e-09,3.4924596548080444e-10,2.02445278318919e-08,0.26604676246643066,8.600295586802531e-08,7.558429615528439e-08
b11,b13,11,13,0.0,2.0,1.1641532182693481e-09,4.656612873077393e-10,2.2469716753903413e-08,0.27513471245765686,7.835538440303935e-08,6.615371006546411e-08
b11,b13,11,13,2.0,-2.0,0.07643170654773712,0.056623928248882294,0.3775274157524109,0.46653175354003906,0.8537774682044983,0.7794599533081055
b11,b13,11,13,2.0,0.0,1.862645149230957e-09,4.656612873077393e-10,2.3659918468865726e-08,0.28424277901649475,8.962286557334664e-08,8.77742110105828e-08
b11,b13,11,13,2.0,2.0,0.0699358657002449,0.05584917962551117,0.39361751079559326,0.49624180793762207,0.7947341203689575,0.7663624286651611
b1,b13,1,13,-2.0,-2.0,0.11711858958005905,0.0587862990796566,0.40584221482276917,0.46543964743614197,0.9441271424293518,0.8349587917327881
b1,b13,1,13,-2.0,0.0,1.0477378964424133e-09,4.656612873077393e-10,1.6352382559148282e-08,0.27186083793640137,7.319425776586286e-08,4.697395183939079e-08
b1,b13,1,13,-2.0,2.0,0.08807441592216492,0.03917921334505081,0.4003691077232361,0.4710482954978943,0.8456286787986755,0.7885347604751587
b1,b13,1,13,0.0,-2.0,6.402842700481415e-10,3.4924596548080444e-10,2.02445278318919e-08,0.26604676246643066,8.600295586802531e-08,7.558429615528439e-08
b1,b13,1,13,0.0,2.0,5.238689482212067e-10,4.656612873077393e-10,2.2469716753903413e-08,0.27513471245765686,7.835538440303935e-08,6.615371006546411e-08
b1,b13,1,13,2.0,-2.0,0.07190374284982681,0.059830572456121445,0.3693602383136749,0.4473124146461487,0.8651602864265442,0.8116671442985535
b1,b13,1,13,2.0,0.0,1.0477378964424133e-09,4.656612873077393e-10,2.4243846041827055e-08,0.2614480257034302,1.4030112538421236e-07,8.780395432950172e-08
b1,b13,1,13,2.0,2.0,0.0680987685918808,0.04511300101876259,0.340262770652771,0.45546066761016846,0.7406377196311951,0.7436772584915161
b8,b4,8,4,-2.0,-2.0,0.08914542198181152,0.0775725394487381,0.37976980209350586,0.5259977579116821,0.7219976782798767,0.702816903591156
b8,b4,8,4,-2.0,0.0,1.1641532182693481e-09,2.3283064365386963e-10,1.656614223577435e-08,0.32942140102386475,5.673916803061729e-08,4.190473390508487e-08
b8,b4,8,4,-2.0,2.0,0.09930229187011719,0.03032829612493515,0.4597204327583313,0.539172351360321,0.8556963801383972,0.8468292951583862
b8,b4,8,4,0.0,-2.0,4.656612873077393e-10,3.026798367500305e-09,2.3433695872654425e-08,0.27373698353767395,9.066458517281717e-08,9.083828445000108e-08
b8,b4,8,4,0.0,2.0,1.5133991837501526e-09,1.6298145055770874e-09,2.0446758952630262e-08,0.28370141983032227,1.0076413303750087e-07,8.299217313378904e-08
b8,b4,8,4,2.0,-2.0,0.04260748624801636,0.06118825823068619,0.38784581422805786,0.47075915336608887,0.8307334184646606,0.8641514778137207
b8,b4,8,4,2.0,0.0,1.0477378964424133e-09,2.3283064365386963e-10,1.895231171999967e-08,0.2716582417488098,8.077704194420221e-08,8.174564669616302e-08
b8,b4,8,4,2.0,2.0,0.040815308690071106,0.05614875629544258,0.3931494951248169,0.46369537711143494,0.847517728805542,0.8651275634765625
b8,b7,8,7,-2.0,-2.0,0.082620769739151,0.13754954934120178,0.37982839345932007,0.4873657822608948,0.7867507934570312,0.8091415166854858
b8,b7,8,7,-2.0,0.0,1.1641532182693481e-09,2.7939677238464355e-09,1.656614223577435e-08,0.32942140102386475,5.673916803061729e-08,4.190473390508487e-08
b8,b7,8,7,-2.0,2.0,0.09643600881099701,0.0957198217511177,0.38272711634635925,0.506568193435669,0.7562499046325684,0.7317250967025757
b8,b7,8,7,0.0,-2.0,2.1827872842550278e-09,4.307366907596588e-09,1.9427234931868043e-08,0.240651473402977,1.172161958606921e-07,8.735435130802216e-08
b8,b7,8,7,0.0,2.0,2.9103830456733704e-09,6.05359673500061e-09,2.421889178094716e-08,0.25188812613487244,1.0626356328202746e-07,9.253877664150423e-08
b8,b7,8,7,2.0,-2.0,0.03806383162736893,0.07721637934446335,0.3152795433998108,0.4015848636627197,0.7875704169273376,0.8033545017242432
b8,b7,8,7,2.0,0.0,1.0477378964424133e-09,5.122274160385132e-09,1.895231171999967e-08,0.2716582417488098,8.077704194420221e-08,8.174564669616302e-08
b8,b7,8,7,2.0,2.0,0.03943946212530136,0.06498932838439941,0.3295988440513611,0.42382586002349854,0.7762808799743652,0.7557437419891357
