component,alpha_unit,self_delta_cosine,other_delta_cosine_mean,other_delta_cosine_absmean,specificity
4,-2.0,-0.00529132504016161,-0.018800116343689815,0.03961637436545321,-0.04490769940561482
4,0.0,0.0,0.0,0.0,0.0
4,2.0,0.0403453204780817,-0.05276505542652948,0.0651392572160278,-0.024793936737946096
5,-2.0,-0.021978416945785284,-0.019836812878825834,0.03266345077593412,-0.0546418677217194
5,0.0,0.0,0.0,0.0,0.0
5,2.0,-0.015797377564013004,0.0009621122985013894,0.060300579494131465,-0.07609795705814447
0,-2.0,-0.047910989727824926,-0.027457025234720538,0.03999027204034584,-0.08790126176817076
0,0.0,0.0,0.0,0.0,0.0
0,2.0,0.010535184293985367,0.0028451053824807915,0.04233752543638859,-0.031802341142403226
