layer,category,target_norm,fit,r2,cosine,residual_l2,weight_l1,weight_l2,weight_l0,weights
13,anger,1.950520634651184,vad_ols,0.011571840401149114,0.10757213830947876,1.9392022069480979,0.5958375930786133,0.34986892342567444,3,"[-0.2502904534339905, 0.17832022905349731, 0.16722692549228668]"
16,anger,2.6951637268066406,vad_ols,0.019516043503542635,0.1396998018026352,2.668734662550153,1.0792040824890137,0.6311984658241272,3,"[-0.4041663408279419, 0.39761513471603394, 0.27742260694503784]"
19,anger,3.6211390495300293,vad_ols,0.029375673837392258,0.17139321565628052,3.567555905540957,1.7094752788543701,1.0225633382797241,3,"[-0.6485805511474609, 0.7068420052528381, 0.3540528416633606]"
22,anger,4.784615993499756,vad_ols,0.023602495857040662,0.15363071858882904,4.727814513284281,1.9758268594741821,1.191114068031311,3,"[-0.8161075115203857, 0.780167818069458, 0.37955155968666077]"
13,anticipation,2.382500171661377,vad_ols,0.0004991567594158086,0.02234550379216671,2.381905204763611,0.17838230729103088,0.10998000204563141,3,"[0.06030730530619621, 0.03176318481564522, -0.08631181716918945]"
16,anticipation,3.399651050567627,vad_ols,0.0007496460944305117,0.027379000559449196,3.398376744922088,0.2431243509054184,0.15846160054206848,3,"[0.06217685341835022, 0.13983526825904846, -0.04111223295331001]"
19,anticipation,4.50900411605835,vad_ols,0.0012734348028399234,0.03568492829799652,4.506131974578025,0.45758873224258423,0.30461716651916504,3,"[0.056821778416633606, 0.2684122622013092, -0.13235467672348022]"
22,anticipation,6.219874382019043,vad_ols,0.0007825255420241817,0.02797328308224678,6.217440213236938,0.5015302300453186,0.34321707487106323,3,"[0.029781514778733253, 0.28896668553352356, -0.18278202414512634]"
13,disgust,2.1079447269439697,vad_ols,0.02334129236844784,0.1527787446975708,2.083198377688607,0.581053614616394,0.4478107988834381,3,"[-0.4307101368904114, 0.11830945312976837, 0.0320340096950531]"
16,disgust,2.861050844192505,vad_ols,0.03157666875290388,0.17769822478294373,2.815517248194003,0.9736308455467224,0.7222256660461426,3,"[-0.654186487197876, 0.3057146668434143, 0.01372966542840004]"
19,disgust,3.974813461303711,vad_ols,0.03952253328987243,0.1988029181957245,3.8954741504483796,1.522013783454895,1.1132231950759888,3,"[-1.0069301128387451, 0.4728345572948456, -0.04224903881549835]"
22,disgust,5.338983058929443,vad_ols,0.03128401290785876,0.1768728643655777,5.254807224095128,1.829852819442749,1.3095033168792725,3,"[-1.2014437913894653, 0.506405770778656, -0.12200330197811127]"
13,fear,2.1052675247192383,vad_ols,0.005036420529763941,0.07096690684556961,2.0999593185844034,0.3987427353858948,0.23941157758235931,3,"[-0.12451653927564621, 0.09121356159448624, -0.18301263451576233]"
16,fear,2.955843925476074,vad_ols,0.004847719054967614,0.06962547451257706,2.9486705952715275,0.612667441368103,0.3703252673149109,3,"[-0.12699821591377258, 0.20362381637096405, -0.2820453941822052]"
19,fear,3.9300339221954346,vad_ols,0.008726040774954313,0.09341368824243546,3.9128496495215277,1.0642815828323364,0.6681857705116272,3,"[-0.2081473469734192, 0.29267144203186035, -0.5634627938270569]"
22,fear,5.226761817932129,vad_ols,0.007468385035219072,0.08642003685235977,5.2072072553829365,1.260693907737732,0.7996661067008972,3,"[-0.2764450013637543, 0.2937925457954407, -0.6904563903808594]"
13,joy,1.5944256782531738,vad_ols,0.04639777557925828,0.21540148556232452,1.5569974521427463,0.7494254112243652,0.4926382899284363,3,"[0.4272281527519226, 0.22537553310394287, -0.09682175517082214]"
