component,rho_mean,rho_lo,rho_hi,sign_rate,causal,cross_talk,causal_ratio,n_prompts,primitive_score,label_dominance,vad_explained,mi
26,0.6875,0.375,0.9375,0.625,0.0262180230347439,0.0349169065626079,0.7508690091713232,8,1.5617860768826275,0.25,0.0018727477872744,0.1289090494727807
22,0.8125,0.6875,0.9375,0.625,0.0335909407585859,0.036610086356213,0.9175324098072708,8,1.5611896043641218,0.5,0.0092793041840195,0.151312009670526
49,0.5625,0.1875,0.9375,0.625,0.0313611790770664,0.0329879471237724,0.9506859871712264,8,1.436270021830058,0.25,0.0052224546670913,0.12501635843517
62,0.5,0.125,0.8125,0.5,0.0288277691579423,0.0358696355514915,0.8036816854678066,8,1.2511543817752335,0.5,0.0003530087997205,0.1306763523383804
