self_delta_pos,self_delta_neg,sign_correct,self_rho,specificity,causal_strength,cross_talk,mi,linear_sep_acc,label_dominance,vad_explained,primitive_score,contrib_self_rho,contrib_sign_correct,contrib_causal_strength,contrib_label_dominance,contrib_vad_explained,contrib_cross_talk,component
0.0044475591275841,-0.03135915054008365,1.0,0.6875,-0.01701355172877407,0.017903354833833873,0.034916906562607944,0.1289090494727807,0.14875,0.25,0.0018727477872744203,1.5617860768826277,0.6875,1.0,0.008951677416916937,-0.125,-0.0009363738936372101,-0.008729226640651986,26
0.013447128934785724,-0.03647998324595392,1.0,0.8125,-0.01164653026584318,0.02496355609036982,0.036610086356213004,0.15131200967052605,0.14750000000000002,0.5,0.009279304184019566,1.5611896043641218,0.8125,1.0,0.01248177804518491,-0.25,-0.004639652092009783,-0.009152521589053251,22
0.006213386193849146,-0.036390787456184626,1.0,0.625,-0.012617747486700186,0.021302086825016886,0.03391983431171707,0.1360730045355334,0.1546875,0.25,0.0007565750856883824,1.501792797291735,0.625,1.0,0.010651043412508443,-0.125,-0.0003782875428441912,-0.008479958577929268,17
0.011396670714020729,-0.03027411943185143,1.0,0.75,-0.01378775026352655,0.02083539507293608,0.03462314533646263,0.15878673621474748,0.1346875,0.625,0.002238482004031539,1.4381426702003366,0.75,1.0,0.01041769753646804,-0.3125,-0.0011192410020157695,-0.008655786334115657,32
0.018285511119756848,-0.02317923167720437,1.0,0.5625,-0.014674899508319201,0.02073237139848061,0.035407270906799806,0.13722182937474736,0.13937500000000003,0.25,0.002626522444188595,1.4377011067504462,0.5625,1.0,0.010366185699240305,-0.125,-0.0013132612220942974,-0.008851817726699952,38
0.014877782785333693,-0.023635160992853343,1.0,0.5625,-0.01373147523467889,0.019256471889093518,0.03298794712377241,0.12501635843517,0.12875,0.25,0.00522245466709137,1.436270021830058,0.5625,1.0,0.009628235944546759,-0.125,-0.002611227333545685,-0.008246986780943103,49
0.02229166857432574,-0.014397427963558584,1.0,0.6875,-0.01734624873631493,0.018344548268942162,0.0356907970052571,0.1842629726530305,0.164375,0.625,0.0006221448420546949,1.3749385024621295,0.6875,1.0,0.009172274134471081,-0.3125,-0.00031107242102734745,-0.008922699251314274,29
0.024636784510221332,-0.016556395741645247,1.0,0.5,-0.015273045425558286,0.02059659012593329,0.03586963555149157,0.13067635233838049,0.138125,0.5,0.00035300879972055554,1.2511543817752335,0.5,1.0,0.010298295062966645,-0.25,-0.00017650439986027777,-0.008967408887872893,62
0.02383462921716273,-0.010952166514471173,1.0,0.5625,-0.017072746783794304,0.01739339786581695,0.03446614464961126,0.15974996832635524,0.14625000000000002,0.625,0.005272292997688055,1.2474440162716616,0.5625,1.0,0.008696698932908475,-0.3125,-0.0026361464988440275,-0.008616536162402814,42
0.010057212319225073,-0.011632886715233326,1.0,0.4375,-0.024476441942891735,0.0108450495172292,0.03532149146012094,0.12496718583477273,0.1353125,0.375,0.0013674506917595863,1.2459084265477045,0.4375,1.0,0.0054225247586146,-0.1875,-0.0006837253458797932,-0.008830372865030234,58
0.0027995924465358257,-0.017551542492583394,1.0,0.4375,-0.024440593830640574,0.01017556746955961,0.034616161300200184,0.12969239431866786,0.1375,0.375,0.0021190629340708256,1.2453742119426943,0.4375,1.0,0.005087783734779805,-0.1875,-0.0010595314670354128,-0.008654040325050046,36
0.010886437608860433,-0.053395134571474046,1.0,0.375,-0.004585769749985681,0.03214078609016724,0.03672655584015292,0.20768735593933885,0.1509375,0.375,0.0033320647198706865,1.19272272172511,0.375,1.0,0.01607039304508362,-0.1875,-0.0016660323599353433,-0.00918163896003823,34
0.05052665341645479,-0.0017277597216889262,1.0,0.625,-0.008068896258053081,0.02612720656907186,0.034196102827124944,0.16440514436356324,0.1471875,0.875,0.0015121513279154897,1.191258501913797,0.625,1.0,0.01306360328453593,-0.4375,-0.0007560756639577448,-0.008549025706781236,1
0.023111026035621762,-0.01954386569559574,1.0,0.6875,-0.013847568086468583,0.021327445865608752,0.03517501395207734,0.16993248101490366,0.14906250000000001,1.0,0.0013895046431571245,1.1886752171232065,0.6875,1.0,0.010663722932804376,-0.5,-0.0006947523215785623,-0.008793753488019335,10
0.010391246061772108,-0.028547866502776742,1.0,0.5,-0.015795561351946423,0.019469556282274425,0.03526511763422085,0.13994645068546152,0.154375,0.625,0.0020606406033039093,1.1873881784309301,0.5,1.0,0.009734778141137213,-0.3125,-0.0010303203016519547,-0.008816279408555212,46
0.008069149684160948,-0.00886941293720156,1.0,0.375,-0.025708585208150676,0.008469281310681254,0.03417786651883193,0.16742013246874388,0.12593749999999998,0.375,0.000720678479410708,1.1828298347859272,0.375,1.0,0.004234640655340627,-0.1875,-0.000360339239705354,-0.008544466629707982,40
0.00987088168039918,-0.0034175225882790983,1.0,0.375,-0.02773923625488625,0.006644202134339139,0.03438343838922539,0.13228633794014533,0.1278125,0.375,0.0004395018331706524,1.1820064905532779,0.375,1.0,0.0033221010671695694,-0.1875,-0.0002197509165853262,-0.008595859597306348,15
0.02038540068315342,-0.011868416040670127,1.0,0.4375,-0.019087390864216205,0.016126908361911774,0.03521429922612798,0.16821387401424337,0.14125000000000001,0.625,0.002522661117836833,1.1229985488155054,0.4375,1.0,0.008063454180955887,-0.3125,-0.0012613305589184165,-0.008803574806531995,30
0.009440393885597587,-0.021772796055302024,1.0,0.625,-0.018879492014151303,0.015606594970449805,0.03448608698460111,0.15408599205208295,0.159375,1.0,0.005240627098828554,1.1215614621896604,0.625,1.0,0.007803297485224903,-0.5,-0.002620313549414277,-0.008621521746150277,9
0.007079169619828463,-0.00783301133196801,1.0,0.25,-0.027748011048912766,0.007456090475898236,0.035204101524811,0.14429607084750717,0.1546875,0.25,0.0014534688089042902,1.1192002854522942,0.25,1.0,0.003728045237949118,-0.125,-0.0007267344044521451,-0.00880102538120275,57
0.025806725199799985,-0.018003190401941538,1.0,0.3125,-0.013210201989937876,0.02190495780087076,0.035115159790808634,0.13405012497073,0.13843750000000002,0.5,0.0024261644575744867,1.063460606723946,0.3125,1.0,0.01095247890043538,-0.25,-0.0012130822287872434,-0.008778789947702158,60
0.019446822814643383,-0.0016966068651527166,1.0,0.25,-0.02432822166006118,0.01057171483989805,0.03489993649995923,0.11970358622601163,0.136875,0.375,0.0009697549394331872,1.0585759958252425,0.25,1.0,0.005285857419949025,-0.1875,-0.0004848774697165936,-0.008724984124989808,11
0.00918992841616273,-0.00616575829917565,1.0,0.1875,-0.028941772391720275,0.00767784335766919,0.03661961574938946,0.1341837404781181,0.1528125,0.25,0.0009390654740855098,1.0567144850044445,0.1875,1.0,0.003838921678834595,-0.125,-0.0004695327370427549,-0.009154903937347365,4
0.01526203379034996,-0.028283035149797797,1.0,0.375,-0.010393896322865557,0.02177253447007388,0.03216643079293943,0.1544392074525609,0.16343749999999999,0.75,0.0012740620877593756,1.0022076284929224,0.375,1.0,0.01088626723503694,-0.375,-0.0006370310438796878,-0.008041607698234858,51
0.016101936111226678,-0.00640275189653039,1.0,0.25,-0.021273583236810133,0.011252344003878534,0.03252592724068867,0.13298535924728272,0.1409375,0.5,0.00019248868920840323,0.9973984458471629,0.25,1.0,0.005626172001939267,-0.25,-9.624434460420161e-05,-0.008131481810172167,23
0.011314721079543233,-0.019210329046472907,1.0,0.1875,-0.018950794331243425,0.01526252506300807,0.0342133193942515,0.20698010432297664,0.134375,0.5,0.000582407636102289,0.9362867288648901,0.1875,1.0,0.007631262531504035,-0.25,-0.0002912038180511445,-0.008553329848562875,31
0.0066839358769357204,-0.0164287812076509,1.0,0.375,-0.022685672756721495,0.01155635854229331,0.034242031299014805,0.14687839864403873,0.1465625,0.875,0.003918531816452742,0.9327584055381666,0.375,1.0,0.005778179271146655,-0.4375,-0.001959265908226371,-0.008560507824753701,50
0.0016196224314626306,-0.00394139823038131,1.0,0.42075317547305485,-0.029539235807619878,0.0027805103309219703,0.03231974613854185,0.1482253657793806,0.1328125,1.0,0.0010474970331415534,0.9135397455873097,0.42075317547305485,1.0,0.0013902551654609852,-0.5,-0.0005237485165707767,-0.008079936534635462,41
0.008899801643565297,-0.02413244399940595,1.0,0.125,-0.019783724329225528,0.016516122821485624,0.03629984715071115,0.1562374825447952,0.125,0.5,0.0004184168064966798,0.8739738912198167,0.125,1.0,0.008258061410742812,-0.25,-0.0002092084032483399,-0.009074961787677787,53
0.004451491637155414,-4.939932841807604e-05,1.0,0.375,-0.03372900150965766,0.002250445482786745,0.0359794469924444,0.14529842968114437,0.16062500000000002,1.0,0.0006875626277178526,0.8667865796794233,0.375,1.0,0.0011252227413933724,-0.5,-0.0003437813138589263,-0.0089948617481111,33
0.01282940967939794,-0.00793086172780022,1.0,0.3125,-0.02441927783273434,0.01038013570359908,0.03479941353633342,0.11506997478486047,0.1453125,1.0,0.0004040624771732837,0.8087881832291295,0.3125,1.0,0.00519006785179954,-0.5,-0.00020203123858664185,-0.008699853384083356,55
0.002238876884803176,-0.018537679687142372,1.0,0.0625,-0.02479439794611637,0.010388278285972774,0.03518267623208914,0.1403839650801939,0.14125000000000001,0.5,0.000222141039557755,0.8087873995651852,0.0625,1.0,0.005194139142986387,-0.25,-0.0001110705197788775,-0.008795669058022286,3
0.007365585304796696,-0.019997132709249854,1.0,0.0625,-0.019616244534965573,0.013681359007023275,0.03329760354198885,0.13204104929888016,0.1425,0.625,0.0013845867943018675,0.7478239852208635,0.0625,1.0,0.0068406795035116374,-0.3125,-0.0006922933971509337,-0.008324400885497213,12
