variant,mean_shift_acc,mean_baseline_acc,mean_delta,retention_vs_caa
caa,0.14583333333333334,0.0625,0.08333333333333333,1.0
lasso,0.052083333333333336,0.0625,-0.010416666666666666,0.35714285714285715
nnls,0.08333333333333333,0.0625,0.020833333333333332,0.5714285714285714
ols,0.11458333333333333,0.0625,0.052083333333333336,0.7857142857142856
random,0.036458333333333336,0.0625,-0.026041666666666668,0.25
vad,0.0625,0.0625,0.0,0.42857142857142855
