,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
anger,1.0,0.3484522836206715,0.4343336389398482,-0.03921947263543868,0.1539520785811783,0.320977008464521,0.302162251746645,0.2377099232775473
anticipation,0.3484522836206715,0.9999999999999999,0.20801988500836247,0.3506899739378694,0.21681599855111072,0.3047160946946578,-0.09240745146264448,0.3998069312777886
disgust,0.4343336389398482,0.20801988500836247,1.0,0.2377156535249082,-0.06426121834015072,0.3704460975430028,0.26630585539848195,-0.09200914625543205
fear,-0.03921947263543868,0.3506899739378694,0.2377156535249082,1.0000000000000002,0.1023416695806706,0.4643224135111634,0.2207299295357141,0.2558827799900058
joy,0.1539520785811783,0.21681599855111072,-0.06426121834015072,0.1023416695806706,1.0000000000000002,-0.11287227521426396,0.21731491446312035,0.4946344391994474
sadness,0.320977008464521,0.3047160946946578,0.3704460975430028,0.4643224135111634,-0.11287227521426396,1.0000000000000002,0.24417743883360343,0.19541414693124623
surprise,0.302162251746645,-0.09240745146264448,0.26630585539848195,0.2207299295357141,0.21731491446312035,0.24417743883360343,0.9999999999999998,0.17046863542932164
trust,0.2377099232775473,0.3998069312777886,-0.09200914625543205,0.2558827799900058,0.4946344391994474,0.19541414693124623,0.17046863542932164,1.0000000000000002
