category,loading_l2_full,loading_l2_keep,loading_l2_excluded,retention,fraction_lost
anger,0.4666774924044738,0.45894633368962856,0.08459399925394173,0.983433615632475,0.18126865047226942
anticipation,0.3639605840621871,0.312456383108926,0.18665024887574197,0.8584896189075765,0.5128309411764502
disgust,0.4372580650872533,0.41944104017000916,0.12354687088287358,0.9592528386784843,0.28254909571129405
fear,0.45049225044242963,0.41511098697061877,0.17500324626978617,0.9214608832070633,0.3884711581562502
joy,0.6140829811444148,0.5900910010478777,0.16997211010493876,0.9609303940457277,0.2767901331318058
sadness,0.4127674839309022,0.3940661548134858,0.12283672667879648,0.9546928238161633,0.29759303109098467
surprise,0.5486422508162034,0.5404076214009474,0.09469911357790024,0.9849908945164075,0.1726063084587787
trust,0.40923092033514646,0.39807211439047285,0.09491331783816873,0.9727322511809838,0.23193095419192147
