sweep,artifact,decomposer,k,seed,layer,category,target_norm,fit,lasso_alpha,r2,cosine,residual_l2,weight_l1,weight_l2,weight_l0
basis_sweep_L22,ica_k016_seed0.pt,ica,16,0,22,anger,4.784615993499756,ols,,0.8567457751812362,0.9256055355072021,1.8109264778282317,78.75524139404297,23.692338943481445,16
basis_sweep_L22,ica_k016_seed0.pt,ica,16,0,22,anger,4.784615993499756,nnls,,0.2789706361630432,0.5281766464945145,4.062782517991258,23.15966229919296,8.589724398703742,9
basis_sweep_L22,ica_k016_seed0.pt,ica,16,0,22,anger,4.784615993499756,lasso,0.001,0.1107696947832455,0.5730375647544861,4.511845574516181,3.7161078453063965,1.6096105575561523,7
basis_sweep_L22,ica_k016_seed0.pt,ica,16,0,22,anger,4.784615993499756,lasso,0.01,0.0,0.0,4.784616120664137,0.0,0.0,0
basis_sweep_L22,ica_k016_seed0.pt,ica,16,0,22,anger,4.784615993499756,lasso,0.1,0.0,0.0,4.784616120664137,0.0,0.0,0
basis_sweep_L22,ica_k016_seed0.pt,ica,16,0,22,anticipation,6.219874382019043,ols,,0.9110061524788883,0.9544665813446045,1.8555027366336345,116.0875244140625,37.4730339050293,16
basis_sweep_L22,ica_k016_seed0.pt,ica,16,0,22,anticipation,6.219874382019043,nnls,,0.15745429228093777,0.39680508272424253,5.709240564339248,25.344537056211756,9.498152446209792,10
basis_sweep_L22,ica_k016_seed0.pt,ica,16,0,22,anticipation,6.219874382019043,lasso,0.001,0.130411884922204,0.4356410801410675,5.800139050625579,4.546144485473633,4.217553615570068,2
basis_sweep_L22,ica_k016_seed0.pt,ica,16,0,22,anticipation,6.219874382019043,lasso,0.01,0.0,0.0,6.219874294764789,0.0,0.0,0
basis_sweep_L22,ica_k016_seed0.pt,ica,16,0,22,anticipation,6.219874382019043,lasso,0.1,0.0,0.0,6.219874294764789,0.0,0.0,0
basis_sweep_L22,ica_k016_seed0.pt,ica,16,0,22,disgust,5.338983058929443,ols,,0.9003704676054257,0.9488785266876221,1.685204463405208,83.26783752441406,25.62970733642578,16
basis_sweep_L22,ica_k016_seed0.pt,ica,16,0,22,disgust,5.338983058929443,nnls,,0.09758292027357562,0.31238262395146676,5.071801034644936,12.290925327191694,5.251549737050315,7
basis_sweep_L22,ica_k016_seed0.pt,ica,16,0,22,disgust,5.338983058929443,lasso,0.001,0.20905493280759047,0.593859851360321,4.748229650559577,6.793656349182129,3.40446400642395,7
basis_sweep_L22,ica_k016_seed0.pt,ica,16,0,22,disgust,5.338983058929443,lasso,0.01,0.0,0.0,5.338983205508439,0.0,0.0,0
basis_sweep_L22,ica_k016_seed0.pt,ica,16,0,22,disgust,5.338983058929443,lasso,0.1,0.0,0.0,5.338983205508439,0.0,0.0,0
basis_sweep_L22,ica_k016_seed0.pt,ica,16,0,22,fear,5.226761817932129,ols,,0.8506369421637567,0.9222997426986694,2.02001357083436,90.12699127197266,28.33664894104004,16
basis_sweep_L22,ica_k016_seed0.pt,ica,16,0,22,fear,5.226761817932129,nnls,,0.21667625209644104,0.4654849718766096,4.625975577926951,23.612566401613034,9.078879963435396,11
basis_sweep_L22,ica_k016_seed0.pt,ica,16,0,22,fear,5.226761817932129,lasso,0.001,0.08438060264149172,0.4176897704601288,5.001383780683071,2.8813648223876953,1.6799215078353882,4
basis_sweep_L22,ica_k016_seed0.pt,ica,16,0,22,fear,5.226761817932129,lasso,0.01,0.0,0.0,5.22676156752579,0.0,0.0,0
basis_sweep_L22,ica_k016_seed0.pt,ica,16,0,22,fear,5.226761817932129,lasso,0.1,0.0,0.0,5.22676156752579,0.0,0.0,0
basis_sweep_L22,ica_k016_seed0.pt,ica,16,0,22,joy,3.6186840534210205,ols,,0.752705744750735,0.8675861358642578,1.799524095989242,32.810630798339844,10.14472770690918,16
basis_sweep_L22,ica_k016_seed0.pt,ica,16,0,22,joy,3.6186840534210205,nnls,,0.6373007472015954,0.7983111759976621,2.1793349462508775,21.454696414647728,8.78141205942824,10
basis_sweep_L22,ica_k016_seed0.pt,ica,16,0,22,joy,3.6186840534210205,lasso,0.001,0.4375838706223959,0.7540366053581238,2.713810610241488,8.024145126342773,4.207888603210449,8
