target,alpha_unit,n,mean_max_plutchik_prob,mean_plutchik_entropy,mean_p_anger,mean_p_disgust,mean_p_fear,mean_p_joy,mean_p_neutral,mean_p_sadness,mean_p_surprise
combo_b1+b11,-2.0,16,0.8751244246923285,0.4654668451954057,0.005492620893027813,0.007366780923762436,0.07800268162293994,0.4194527139125962,0.360278860163738,0.09155645660847646,0.037849885875459184
combo_b1+b11,0.0,16,0.7972983095579894,0.6551522890630015,0.01099380271841835,0.012008666517714208,0.03909143594571203,0.27701195909599335,0.45437116320024484,0.10269058369652495,0.1038323888253923
combo_b1+b11,2.0,16,0.697039939215768,0.879964968878626,0.040312452986072334,0.05004730637521106,0.14141187385784088,0.05122980835752469,0.5278596052381883,0.12327064896876802,0.06586830421639477
combo_b1+b13,-2.0,16,0.7602484135756362,0.7425817752693286,0.02993091944808033,0.05394002366745311,0.057581266924520244,0.24172174519225106,0.4506175885491448,0.09032266359653356,0.07588579262201685
combo_b1+b13,0.0,16,0.7972983095579894,0.6551522890630015,0.01099380271841835,0.012008666517714208,0.03909143594571203,0.27701195909599335,0.45437116320024484,0.10269058369652495,0.1038323888253923
combo_b1+b13,2.0,16,0.7779673253601563,0.6654561160574751,0.05773514750950232,0.04468186975055949,0.02038816397279412,0.21166621036913758,0.5411027824388815,0.04741630858689559,0.0770095173722294
combo_b11+b13,-2.0,16,0.85422417395815,0.5143293588864515,0.008935351730623656,0.01695044996667102,0.00914649815386067,0.2361308834851843,0.327568949802843,0.05720844234425367,0.3440594245165637
combo_b11+b13,0.0,16,0.7972982424045576,0.6551523149674425,0.010993792858832264,0.012008662608040897,0.03909143302952127,0.27701188823369294,0.4543712225913457,0.10269058254240483,0.10383241813616209
combo_b11+b13,2.0,16,0.7420086410987139,0.7797590345955376,0.01496733377533053,0.032516734263107354,0.07666787124536312,0.15117349715649267,0.5650021747013882,0.067526124974356,0.09214626388396208
gap_b1,-2.0,16,0.7927925731968133,0.6784212094273059,0.017036727146302732,0.02213606049559956,0.030730020540331207,0.18653489983866772,0.6014460340684129,0.10895971786590788,0.033156540044777985
gap_b1,0.0,16,0.7972982102212067,0.6551523651766231,0.010993794312208097,0.012008666912526042,0.039091442762961164,0.27701188469565763,0.45437119785594926,0.10269059452568921,0.10383241893500857
gap_b1,2.0,16,0.7600792219864654,0.7829346735385971,0.017476715570638048,0.02893384221994252,0.1212335370968829,0.17549775906681414,0.421005716137161,0.06314695630756902,0.17270547360099237
gap_b11,-2.0,16,0.839852782126299,0.5596807182250668,0.06422664467035545,0.006534870039670685,0.06731529623657655,0.3543292428524695,0.34902775943935604,0.08256241196154072,0.0760037748000311
gap_b11,0.0,16,0.7972982102212067,0.6551523651766231,0.010993794312208097,0.012008666912526042,0.039091442762961164,0.27701188469565763,0.45437119785594926,0.10269059452568921,0.10383241893500857
gap_b11,2.0,16,0.7665180047528564,0.7584155375340063,0.03541974087434109,0.03385493393752218,0.08778349341905904,0.11284292435620003,0.5025942524679878,0.17915438152428026,0.048350273420609505
gap_b13,-2.0,16,0.690105019747854,0.9138842448047133,0.021575446260136952,0.04314466009969023,0.03056036026305538,0.17488031259239062,0.3834096231645988,0.17733830197844963,0.16909129564167835
gap_b13,0.0,16,0.7972982487368778,0.6551523618095476,0.010993802431374329,0.012008669412775461,0.03909144314986724,0.2770119267576665,0.45437112932242774,0.10269062382949976,0.10383240509638902
gap_b13,2.0,16,0.8621927080660942,0.5358099102998523,0.008067173072277348,0.0067610047217917905,0.06552904044673147,0.4158998620207905,0.4463516414623202,0.014661101784708905,0.042730176491379834
pan_b0,-2.0,16,0.7831633710023951,0.6909973659610835,0.01205357964620002,0.02195785117878544,0.059808288223975575,0.19251188185857265,0.5356200288575305,0.12098549862624859,0.05706287160868728
pan_b0,0.0,16,0.7972982102212067,0.6551523651766231,0.010993794312208097,0.012008666912526042,0.039091442762961164,0.27701188469565763,0.45437119785594926,0.10269059452568921,0.10383241893500857
pan_b0,2.0,16,0.8348237709673099,0.5642421633515433,0.01157568290169754,0.06379550530458887,0.0071238601532092214,0.28192348514145465,0.527071133273742,0.06959911188096722,0.03891122134434048
pan_b5,-2.0,16,0.8323799894447586,0.5867774896905164,0.011895107734641166,0.014622071470967796,0.07639464735551761,0.21035161696760668,0.518415533649444,0.04822298759478717,0.12009803522703556
pan_b5,0.0,16,0.7972982961996498,0.6551522973149622,0.010993803226250683,0.012008669913573002,0.039091444187020596,0.2770119586044409,0.4543711498419052,0.10269058411696322,0.10383239010984652
pan_b5,2.0,16,0.783868436547557,0.6963709200879886,0.024344952318742043,0.027286686489676547,0.12317567336532036,0.17651035908526677,0.41396722720152435,0.186979202291298,0.047735899248171995
pan_b8,-2.0,16,0.6675120949462383,0.977852413922145,0.04773590894793639,0.028800525957542497,0.09761729932624247,0.11780059892232975,0.5835556363181185,0.09002718550737249,0.034462845020457926
pan_b8,0.0,16,0.7972982773800893,0.655152359460009,0.010993804061261174,0.012008668149152702,0.039091438364643905,0.27701195207600404,0.45437114420171704,0.10269059721556187,0.10383239593165929
pan_b8,2.0,16,0.7857606325341321,0.675633034018755,0.008763615897921403,0.055982053819223734,0.017732141586399415,0.2734207760167352,0.42416814025833466,0.07735906854119812,0.14257420388018754
