variant,mean_shift_acc,mean_baseline_acc,mean_delta,retention_vs_caa
caa,0.16145833333333334,0.0625,0.09895833333333333,1.0
lasso,0.06770833333333333,0.0625,0.005208333333333333,0.4193548387096774
nnls,0.08333333333333333,0.0625,0.020833333333333332,0.5161290322580645
ols,0.11458333333333333,0.0625,0.052083333333333336,0.7096774193548386
random,0.08854166666666667,0.0625,0.026041666666666668,0.5483870967741935
vad,0.057291666666666664,0.0625,-0.005208333333333333,0.3548387096774193
