cat_a,cat_b,alpha,beta,cluster_id,cluster_name,cos_resid,cos_marg,cos_full,null_p95,norm_resid,norm_marg,norm_full
b1,b11,-2.0,-2.0,0,self-doubt / encouragement,0.07671011239290237,0.18266329169273376,0.00445416197180748,0.04447821527719498,0.5062369108200073,0.5938982963562012,0.42561253905296326
b1,b11,-2.0,-2.0,1,frustration / despair,-0.014408129267394543,0.18381643295288086,-0.036074548959732056,0.04994594305753708,0.5062369108200073,0.5938982963562012,0.42561253905296326
b1,b11,-2.0,-2.0,2,uncertainty / indecision,0.013451822102069855,0.22167083621025085,-0.1248256117105484,0.040912676602602005,0.5062369108200073,0.5938982963562012,0.42561253905296326
b1,b11,-2.0,-2.0,3,romantic idealism,-0.011400727555155754,0.11541135609149933,0.03091905266046524,0.05297365039587021,0.5062369108200073,0.5938982963562012,0.42561253905296326
b1,b11,-2.0,-2.0,4,academic ambition / competitive determination,0.042114559561014175,0.11973287165164948,-0.09278392791748047,0.04842482879757881,0.5062369108200073,0.5938982963562012,0.42561253905296326
b1,b11,-2.0,-2.0,5,ironic amusement,-0.00010335445404052734,0.16197676956653595,-0.03939051926136017,0.04776734113693237,0.5062369108200073,0.5938982963562012,0.42561253905296326
b1,b11,-2.0,-2.0,6,enthusiasm / curiosity,-0.03688516467809677,0.27495378255844116,-0.021136043593287468,0.04128201678395271,0.5062369108200073,0.5938982963562012,0.42561253905296326
b1,b11,-2.0,2.0,0,self-doubt / encouragement,-0.045560598373413086,0.2811533808708191,-0.00949796847999096,0.04447821527719498,0.5099081993103027,0.5858598351478577,0.4144449532032013
b1,b11,-2.0,2.0,1,frustration / despair,-0.04550432413816452,0.21957018971443176,-0.02845681458711624,0.04994594305753708,0.5099081993103027,0.5858598351478577,0.4144449532032013
b1,b11,-2.0,2.0,2,uncertainty / indecision,-0.044049087911844254,0.3206946849822998,-0.06313487142324448,0.040912676602602005,0.5099081993103027,0.5858598351478577,0.4144449532032013
b1,b11,-2.0,2.0,3,romantic idealism,-0.21049438416957855,0.23747989535331726,-0.04298398643732071,0.05297365039587021,0.5099081993103027,0.5858598351478577,0.4144449532032013
b1,b11,-2.0,2.0,4,academic ambition / competitive determination,0.027918869629502296,0.1548045426607132,-0.06512149423360825,0.04842482879757881,0.5099081993103027,0.5858598351478577,0.4144449532032013
b1,b11,-2.0,2.0,5,ironic amusement,-0.018327772617340088,0.17234951257705688,-0.05135378986597061,0.04776734113693237,0.5099081993103027,0.5858598351478577,0.4144449532032013
b1,b11,-2.0,2.0,6,enthusiasm / curiosity,-0.017488984391093254,0.2727075517177582,-0.006676545366644859,0.04128201678395271,0.5099081993103027,0.5858598351478577,0.4144449532032013
b1,b11,2.0,-2.0,0,self-doubt / encouragement,-0.032539959996938705,0.21335621178150177,-0.0759965106844902,0.04447821527719498,0.46150994300842285,0.5958267450332642,0.4383796751499176
b1,b11,2.0,-2.0,1,frustration / despair,-0.0038740169256925583,0.19907410442829132,-0.0009178053587675095,0.04994594305753708,0.46150994300842285,0.5958267450332642,0.4383796751499176
b1,b11,2.0,-2.0,2,uncertainty / indecision,-0.054852694272994995,0.2642021179199219,-0.13568943738937378,0.040912676602602005,0.46150994300842285,0.5958267450332642,0.4383796751499176
b1,b11,2.0,-2.0,3,romantic idealism,0.005187241360545158,0.1140713319182396,0.047331392765045166,0.05297365039587021,0.46150994300842285,0.5958267450332642,0.4383796751499176
b1,b11,2.0,-2.0,4,academic ambition / competitive determination,0.04854752868413925,0.09915205836296082,-0.11505205929279327,0.04842482879757881,0.46150994300842285,0.5958267450332642,0.4383796751499176
b1,b11,2.0,-2.0,5,ironic amusement,0.009533565491437912,0.16511113941669464,-0.02311469241976738,0.04776734113693237,0.46150994300842285,0.5958267450332642,0.4383796751499176
b1,b11,2.0,-2.0,6,enthusiasm / curiosity,-0.06040346622467041,0.30819329619407654,0.004870872013270855,0.04128201678395271,0.46150994300842285,0.5958267450332642,0.4383796751499176
b1,b11,2.0,2.0,0,self-doubt / encouragement,-0.13069087266921997,0.2936926484107971,-0.05580025911331177,0.04447821527719498,0.47253474593162537,0.6243139505386353,0.42689248919487
b1,b11,2.0,2.0,1,frustration / despair,0.008813216350972652,0.2211751937866211,0.05860771983861923,0.04994594305753708,0.47253474593162537,0.6243139505386353,0.42689248919487
b1,b11,2.0,2.0,2,uncertainty / indecision,-0.07449327409267426,0.34221717715263367,-0.03077322244644165,0.040912676602602005,0.47253474593162537,0.6243139505386353,0.42689248919487
b1,b11,2.0,2.0,3,romantic idealism,-0.13765698671340942,0.2219301462173462,0.05597369745373726,0.05297365039587021,0.47253474593162537,0.6243139505386353,0.42689248919487
b1,b11,2.0,2.0,4,academic ambition / competitive determination,-0.007302974350750446,0.1259976327419281,-0.13283893465995789,0.04842482879757881,0.47253474593162537,0.6243139505386353,0.42689248919487
b1,b11,2.0,2.0,5,ironic amusement,0.017630301415920258,0.1652255356311798,-0.0033426685258746147,0.04776734113693237,0.47253474593162537,0.6243139505386353,0.42689248919487
b1,b11,2.0,2.0,6,enthusiasm / curiosity,-0.06266709417104721,0.28848251700401306,-0.007323721423745155,0.04128201678395271,0.47253474593162537,0.6243139505386353,0.42689248919487
b1,b13,-2.0,-2.0,0,self-doubt / encouragement,-0.027313489466905594,0.23333650827407837,-0.037309274077415466,0.04447821527719498,0.5169758796691895,0.6053728461265564,0.4905730187892914
b1,b13,-2.0,-2.0,1,frustration / despair,0.01762949675321579,0.18299715220928192,0.00549740344285965,0.04994594305753708,0.5169758796691895,0.6053728461265564,0.4905730187892914
b1,b13,-2.0,-2.0,2,uncertainty / indecision,-0.03412763401865959,0.25557267665863037,-0.1111500933766365,0.040912676602602005,0.5169758796691895,0.6053728461265564,0.4905730187892914
b1,b13,-2.0,-2.0,3,romantic idealism,-0.11664029955863953,0.17793866991996765,-0.004516624845564365,0.05297365039587021,0.5169758796691895,0.6053728461265564,0.4905730187892914
b1,b13,-2.0,-2.0,4,academic ambition / competitive determination,0.010184118524193764,0.12209199368953705,-0.10753139108419418,0.04842482879757881,0.5169758796691895,0.6053728461265564,0.4905730187892914
b1,b13,-2.0,-2.0,5,ironic amusement,-0.030969111248850822,0.204082652926445,-0.011033299379050732,0.04776734113693237,0.5169758796691895,0.6053728461265564,0.4905730187892914
b1,b13,-2.0,-2.0,6,enthusiasm / curiosity,-0.06649871170520782,0.28697338700294495,-0.029121439903974533,0.04128201678395271,0.5169758796691895,0.6053728461265564,0.4905730187892914
b1,b13,-2.0,2.0,0,self-doubt / encouragement,0.1225040927529335,0.17522740364074707,0.035115890204906464,0.04447821527719498,0.4953944981098175,0.5658510327339172,0.4101380705833435
b1,b13,-2.0,2.0,1,frustration / despair,0.08422008901834488,0.14718246459960938,0.01903471350669861,0.04994594305753708,0.4953944981098175,0.5658510327339172,0.4101380705833435
b1,b13,-2.0,2.0,2,uncertainty / indecision,0.06908360123634338,0.22560296952724457,-0.07246217131614685,0.040912676602602005,0.4953944981098175,0.5658510327339172,0.4101380705833435
b1,b13,-2.0,2.0,3,romantic idealism,0.050176091492176056,0.10009405016899109,0.0776824802160263,0.05297365039587021,0.4953944981098175,0.5658510327339172,0.4101380705833435
b1,b13,-2.0,2.0,4,academic ambition / competitive determination,0.1685338169336319,0.08381426334381104,-0.002465035766363144,0.04842482879757881,0.4953944981098175,0.5658510327339172,0.4101380705833435
b1,b13,-2.0,2.0,5,ironic amusement,0.02403385564684868,0.1711595207452774,-0.010219557210803032,0.04776734113693237,0.4953944981098175,0.5658510327339172,0.4101380705833435
b1,b13,-2.0,2.0,6,enthusiasm / curiosity,0.11700384318828583,0.23139837384223938,0.0859861969947815,0.04128201678395271,0.4953944981098175,0.5658510327339172,0.4101380705833435
b1,b13,2.0,-2.0,0,self-doubt / encouragement,-0.02240723744034767,0.2493518888950348,0.006116583943367004,0.04447821527719498,0.5202251672744751,0.6412866711616516,0.45959407091140747
b1,b13,2.0,-2.0,1,frustration / despair,0.11447209864854813,0.18748116493225098,0.136167511343956,0.04994594305753708,0.5202251672744751,0.6412866711616516,0.45959407091140747
b1,b13,2.0,-2.0,2,uncertainty / indecision,0.06123160570859909,0.28145700693130493,0.04514423757791519,0.040912676602602005,0.5202251672744751,0.6412866711616516,0.45959407091140747
b1,b13,2.0,-2.0,3,romantic idealism,-0.06516524404287338,0.16708417236804962,0.051379021257162094,0.05297365039587021,0.5202251672744751,0.6412866711616516,0.45959407091140747
